S_Q_AB_nCi_2_NS7_C_KA_c_MAS,MX_B_AB_nCi_2_SS6_C_SRW_c-p_MAS,S_TrB_AB_nCi_3_M26(M8)_SS4_T_KA_m-r_MID,VC_TrC_AB_nCi_3_M26(M5)_NS5_T_KA_h_MID,P3_F_AB_nCi_2_NS1_H_T_NSRW_e_MAS,SD_F_BB_Ci(2.0;-2.0)_2_SS1_H_T_KA_e_MAS,Q3_B_AB_nCi_2_NS3_T_LGP[1]_h-s_MAS,SD_Q_AB_Ci(2.0;-2.0)_2_SS2_H_n_X_LGP[2-4]_p_MAS,VC_B_AB_nCi_2_NS7_X_NSRW_r-m_MAS,VC_TrQB_AB_nCi_3_M22(M16)_SS1_T_LG3L[2-3]_LGL[2-3]_m-p_MID,S_Q_BB_Ci(2.0;-2.0)_2_MP1_H_T_KA_c_MAS,Q2_B_AB_nCi_2_NS1_T_NSRW_h-s_MAS,MX_TrB_AB_nCi_3_M20(M8)_SS6_T_KA_m-r_MID,MX_B_AB_nCi_2_SS1_n_X_LGP[1-3]_p-h_MAS,ES_RA_TrC_AB_nCi_3_M27_SS0_T_KA_v_MID,N1_Q_AB_nCi_2_MP7_H_n_T_LGP[1]_v_MAS,TS[1]_K_TrC_AB_nCi_3_M27_NS0_T_KA_p_MID,S_B_AB_nCi_2_NS3_X_KA_e-c_MAS,P3_F_AB_nCi_2_SS2_X_SRW_p_MAS,S_TrB_AB_nCi_3_M27_SS1_T_KA_r-p_MID,MN_Tr_AB_nCi_3_M20(M8)_NS1_X_KA_a-e-v_MID,K_TrQB_AB_nCi_3_M26(M8)_NS5_X_KA_r-p_MID,I50_TrC_AB_nCi_3_M20(M5)_NS7_C_KA_h_MID,RA_TrB_AB_nCi_3_M21(M1)_MP0_T_KA_r-p_MID,S_TrQB_AB_nCi_3_M22(M1)_SS1_T_LG3L[1-2]_LGL[1-2]_r-p_MID,AC[1]_I50_TrB_AB_nCi_3_M20(M15)_SS5_T_KA_e-v_MID,S_Q_AB_Ci(2.0;-2.0)_2_SS1_H_n_T_KA_c_MAS,MX_TrB_AB_nCi_3_M26(M8)_SS7_C_KA_m-r_MID,MN_Tr_AB_nCi_3_M19(M11)_SS1_X_KA_a-e-v_MID,K_Tr_AB_nCi_3_M22(M5)_SS5_T_KA_a-e-v_MID,MN_TrB_AB_nCi_3_M25(M15)_SS6_T_KA_m-r_MID,S_B_AB_nCi_2_NS5_X_NSRW_c-m_MAS,MX_TrQB_AB_nCi_3_M26(M1)_SS7_C_KA_r-p_MID,GV[3]_K_Tr_AB_nCi_3_M25(M13)_SS6_T_KA_m-a-c_MID,P3_F_AB_nCi_2_SS2_H_T_NSRW_e_MAS,MN_Tr_AB_nCi_3_M26(M8)_NS1_X_KA_a-e-v_MID,RA_TrF_AB_nCi_3_M21(M11)_SS3_T_LG3L[2-3]_LGL[2-3]_p_MID,MN_F_AB_nCi_2_SS2_T_LGP[1;2;6]_p_MAS,I50_TrF_AB_nCi_3_M21(M5)_NS7_T_LGA[0.0-1.0]_h_MID,SD_F_AB_nCi_2_NS2_X_KA_e_MAS,S_TrQB_AB_nCi_3_M26(M14)_SS1_T_KA_r-p_MID,N3_B_AB_nCi_2_NS4_n_T_KA_e-h_MAS,IB_K_Tr_AB_nCi_3_M28_NS2_T_KA_a-v-p_MID,K_TrQB_AB_nCi_3_M21(M5)_SS1_T_KA_r-p_MID,I50_TrF_AB_nCi_3_M27_MP1_T_KA_p_MID,PEOE_VSA2,SMR_VSA10,SMR_VSA3,SMR_VSA6,SlogP_VSA1,TPSA,VSA_EState2,NOCount,fr_NH0,fr_allylic_oxid,Target
-1.111546774,0.087120391,-0.376385428,0.241230772,6.961898157,0.443368893,16.49725435,0,0,0.436302494,-0.958484436,2.749542392,5.538887103,0,3.64E-12,201.2356626,-1.875,0,0,-2.430701216,0,0,1.742736886,0.624066158,-1.820106598,2546.29151,-0.094850142,5.669280592,0,6.938040661,1.336299151,0,118.837533,-2.646076348,1.726258542,0,1.446165655,1.644410714,0.394221025,0,-0.298187568,430.4710442,-0.351151704,-1.358689201,0.071409393,0,0,0,0,0,0,0,0,0,4,-0.74
0.784671383,0.041934802,0.155084463,0.285106301,6.921420199,0.334056746,18.65412374,0,0,0.507730161,1.774437791,2.181788423,4.848710782,0,0,163.467524,1.634580134,0,0,0.973560076,0,0,1.096505708,0.613770715,0.112719803,2013.284303,-0.169505292,5.00384173,0,-2.162741807,1.022440378,0,79.26179465,3.176732213,1.770258072,0,2.338739091,1.430684524,5.026873997,0,-0.137247996,357.4338548,-0.255296891,-0.869208463,0.021998506,0,0,0,0,0,0,0,0,0,2,-0.88
-1.001788446,0.098829514,-0.268749706,0.292254538,6.925834172,0.525033084,18.33371171,0,0,0.413281812,1.702360024,2.83279922,5.542410409,0,0,190.6225176,-1.172292282,0,0,-1.564119735,0,0,1.500964655,0.614854819,-0.886265399,3476.231994,0.756125714,5.678926723,0,-0.196943758,1.419976574,0,122.6191585,-1.721882938,1.742672876,0,1.458679659,1.716678571,1.267294819,0,-0.088800404,451.2228884,0.161239171,-0.428716773,0.038932657,0,0,0,0,0,0,0,0,0,4,-0.73
-0.896577075,0.102717171,-0.015624905,0.250861593,7.010884215,0.380995025,14.91446771,0,0,0.316164735,-0.72938997,2.517037804,4.677787817,0,0,197.2668597,-3.006425985,0,0,-1.314748666,0,0,1.976793925,0.582680906,-0.659151783,672.2549602,0.65160268,4.791094165,0,0.117269873,1.435920181,0,94.18436386,1.394705302,1.763620431,0,1.206335716,1.628559524,1.507504738,0,0.469370931,384.769778,2.109987665,0.133944335,0.055467892,0,0,0,0,0,0,0,0,0,2,-3.08
-0.700076712,0.089153984,-0.230927644,0.205088069,7.081271119,0.344843003,14.74642502,0,0,0.175157094,-0.865684063,2.336625956,5.170706735,0,0,212.6407989,-6,0,0,-1.154087854,0,0,0.610117321,0.570404645,-0.72909571,1286.323844,0.794111802,5.257987222,0,-3.103735695,2.101223597,0,88.35894176,0,1.725549501,0,1.123711784,0.81075,0.0141856,0,0.383290472,378.4676256,-3.000174369,-3.297220552,0.051327883,0,0,0,0,0,0,0,0,0,2,-2.99
-0.885142381,0.047065387,-0.914419921,0.375950087,6.504623514,0.339208258,14.07804107,0,0,0.392536553,-0.114885681,2.143310949,5.07586212,0,3.64E-12,130.4944099,-0.089935274,0,0,0.667611944,0,0,1.031058594,0.633580826,-0.43046737,1445.459947,0.07911639,5.164448888,0,-0.447806335,1.461275657,0,68.51080807,0.503487645,1.910812715,0,2.602226933,0.837432292,2.911066473,0,-0.547451898,656.8911789,-2.420902612,-1.135240947,0.022973935,0,0,0,0,0,0,0,0,0,1,-4.12
1.109112665,0.024402934,1.805196315,0.360211299,7.200219418,0.156147706,23.87425559,0,0,0.343845449,1.642993366,2.655772374,6.570159268,0,0,186.769829,-1.969777252,0,0,0.095715924,0,0,4.41751811,0.553159473,1.885729201,4183.48543,1.444466788,6.65331964,0,-2.869215966,1.987904667,0,56.89833283,0,1.927135509,0,2.209760909,1.340458333,0.141139423,0,-1.938081624,434.2681033,2.872747786,2.050631449,0.005559031,0,0,0,0,0,0,0,0,0,1,-0.47
0.425516753,0.031034323,1.38611194,0.200350575,7.084971186,0.161891394,18.03870389,0,0,0.429002021,2.006085356,2.338612156,5.054796937,0,0,222.4542906,-3.00379528,0,0,-0.606374893,0,0,0.888484158,0.571075354,1.105421311,710.0167336,1.665775692,5.105842303,0,-3.159382742,1.943082804,0,85.79358941,0,1.890157319,0,0.696601846,1.8845625,0.487769274,0,-1.359150064,408.2864357,4.999999977,-3.142023511,0.024014319,0,0,0,0,0,0,0,0,0,1,1.65
-0.360714288,0.031342078,1.993675537,0.152910602,6.92150156,0.169100211,18.09424028,0,0,0.153761692,2.674819898,2.220969254,4.913484136,0,0,169.3405379,-0.991921948,0,0,1.08550772,0,0,0.449470313,0.417698664,2.116085604,2294.094843,2.001665307,4.956060004,0,-1.650550785,1.422246425,0,76.34490363,1.055763897,1.842167539,0,2.645058812,2.2835625,4.06200251,0,-0.427171654,342.8409108,0.699234131,6.365169586,0.019863894,0,0,0,0,0,0,0,0,0,1,2.24
-0.552047838,0.032061156,2.309705827,0.132004537,6.892369918,0.170240627,11.95619247,0,0,0.305180486,2.734801976,2.055461396,5.290049275,0,3.64E-12,167.5906038,-0.830839657,0,0,2.554472038,0,0,0.103433921,0.387225894,1.869245791,688.9417962,2.094888418,5.394319774,0,1.577622659,1.0407352,0,100.7631731,5.553667983,1.83363034,0,2.455018494,2.3334375,3.642959267,0,-1.188967787,323.7669237,7.779414692,6.013461006,0.01750555,0,0,0,0,0,0,0,0,0,1,3.16
